feature,importance_gain,importance_split
prev_max_DAYS_FIRST_DUE,725.4536670913299,62.26666666666667
prev_approved_AMT_CREDIT_MEAN,399.2040306528409,62.133333333333326
inst_mean_DBD_SCALE,478.9539563291861,62.133333333333326
NAME_EDUCATION_TYPE,3130.8033513466517,61.86666666666666
bureau_max_DAYS_CREDIT,510.01400312359135,61.53333333333334
prev_sum_DAYS_DECISION,513.7176404197701,60.06666666666668
prev_avg_AMT_APPLICATION,409.25746139834325,59.333333333333336
prev_max_AMT_APPLICATION,411.12479027528315,58.86666666666666
bureau_avg_DAYS_CREDIT_ENDDATE,393.9081667860349,58.533333333333324
bureau_active_sum_AMT_DEBT_RATIO,614.9377958118914,58.266666666666666
AMT_CREDIT_GOODS_PERC_to_prev_approved,420.5644279614091,58.133333333333326
prev_avg_DAYS_LAST_DUE,546.4350474178791,57.93333333333334
prev_avg_DAYS_TERMINATION,518.4679064905891,57.86666666666666
NEW_CREDIT_TO_INCOME_RATIO,447.81855814357596,56.86666666666666
bureau_recent_DAYS_CREDIT_UPDATE,415.2048893451691,56.06666666666666
bureau_avg_DAYS_CREDIT_UPDATE,425.0945846475661,55.866666666666674
prev_max_DAYS_DECISION,432.98659954730726,55.66666666666667
inst_max_DBD,337.3556269344564,55.46666666666666
cc_mean4_AMT_PAY_INST_DIFF,518.725018163522,55.266666666666666
prev_avg_DAYS_LAST_DUE_1ST_VERSION,445.53097748061026,55.0
Total_ANNUITY_INCOME_RATIO,399.9662863987188,54.46666666666666
prev_approved_DAYS_DECISION_MEAN,550.6026714945251,54.4
NAME_INCOME_TYPE_mean_encode,534.2733938395977,54.4
inst_mean_AMT_PAYMENT,389.2308176813026,54.333333333333336
prev_avg_AMT_CREDIT_GOODS_PERC,431.2910983343919,54.33333333333333
APARTMENTS_MODE,440.0641608662283,53.666666666666664
prev_max_AMT_CREDIT,344.75374708871044,52.2
prev_avg_DAYS_DECISION,494.91128090076774,52.13333333333334
bureau_active_sum_DAYS_CREDIT_ENDDATE,352.22715094884234,52.0
FLAG_WORK_PHONE,434.56129133701324,51.73333333333333
inst_mean_AMT_PAYMENT_SCALE,371.44692324424784,51.4
bureau_sum_DAYS_END_DIFF,347.235394919524,51.333333333333336
bureau_avg_DAYS_CREDIT,358.7730246622115,51.2
prev_recent_AMT_PAY_YEAR,344.39908399519817,50.866666666666674
prev_avg_DAYS_FIRST_DUE,442.36027306119604,50.599999999999994
bureau_sum_AMT_DEBT_RATIO,496.35378428002196,50.333333333333336
pos_NAME_CONTRACT_STATUS_CNT_Active,449.62594841519984,50.26666666666667
prev_avg_AMT_DOWN_PAYMENT,362.44788508825,50.266666666666666
bureau_sum_DAYS_CREDIT_ENDDATE,339.8585993746916,50.13333333333334
pos_MONTH_CNT,470.7013326570392,50.06666666666666
bureau_max_DAYS_CREDIT_ENDDATE,435.7981766513238,49.800000000000004
prev_PRODUCT_COMBINATION_mode_mean_encode,356.0906741976738,49.666666666666664
prev_approved_AMT_CREDIT_SUM,384.4743626708786,49.199999999999996
prev_avg_AMT_ANNUITY,325.02201473911606,49.0
prev_approved_AMT_APPLICATION_MAX,368.0563240006629,48.93333333333334
inst_sum_AMT_PAYMENT_DIFF_SCALE,419.3906135559082,48.66666666666667
TOTALAREA_MODE,396.0633546024561,48.46666666666667
bureau_sum_DAYS_CREDIT,349.74633255228406,48.0
prev_recent_NAME_TYPE_SUITE_mean_encode,251.2974331711419,47.8
prev_refused_DAYS_DECISION_MAX,358.8811197479566,47.4
inst_mean_DPD,415.3203697303931,47.2
bureau_active_sum_AMT_CREDIT_SUM_DEBT,395.06412109546363,47.13333333333334
prev_approved_AMT_PAY_YEAR_MEAN,341.625937268883,47.13333333333333
prev_sum_AMT_APPLICATION,341.6792895153165,46.46666666666666
prev_avg_AMT_PAY_YEAR,355.5014280110598,46.2
DEF_30_CNT_SOCIAL_CIRCLE,806.1489736715953,46.13333333333333
prev_avg_DAYS_END_DIFF,342.5896380901337,46.06666666666667
prev_approved_DAYS_DECISION_MAX,420.24733183011415,46.06666666666666
prev_max_AMT_DIFF_CREAPP,329.3469493413965,45.66666666666667
inst_length,395.7212983880192,45.66666666666667
bureau_sum_DAYS_CREDIT_UPDATE,307.25651845981673,45.46666666666667
LANDAREA_MEDI,311.6497580289841,45.2
prev_active_sum_AMT_PAID,390.4077546358109,45.2
prev_approved_AMT_ANNUITY_MEAN,302.7651239799957,45.2
AMT_PAY_YEAR_to_prev_refused,301.95562127729255,45.199999999999996
NAME_FAMILY_STATUS_mean_encode,428.06909096241,45.13333333333333
prev_max_AMT_ANNUITY,310.63025043209393,45.133333333333326
bureau_recent_DAYS_CREDIT,388.15326365431144,44.8
NEW_INC_PER_CHLD,302.61197373618677,44.33333333333333
prev_approved_RATE_DOWN_PAYMENT_MAX,326.12277544376747,44.00000000000001
bureau_recent_DAYS_ENDDATE_FACT,506.0770075956981,43.73333333333333
prev_approved_AMT_ANNUITY_MAX,327.24176603344586,43.666666666666664
LIVINGAREA_MEDI,355.4154678506156,43.599999999999994
bureau_sum_DAYS_ENDDATE_FACT,294.15871451099713,43.46666666666667
prev_min_DAYS_DECISION,325.88164479850474,43.46666666666666
prev_max_AMT_PAY_YEAR,358.49918298224605,43.266666666666666
prev_approved_AMT_DOWN_PAYMENT_MEAN,314.12140833294643,43.266666666666666
prev_max_DAYS_TOTAL,297.46529171069466,43.13333333333334
prev_approved_APP_CREDIT_PERC_MAX,311.90261872460445,43.13333333333333
prev_recent_NAME_CASH_LOAN_PURPOSE_mean_encode,280.0902682080865,42.46666666666667
NEW_DOC_IND_KURT,1268.8436869621278,42.266666666666666
prev_avg_DAYS_TOTAL2,459.7313281719883,41.93333333333333
prev_approved_AMT_DOWN_PAYMENT_MAX,335.7314916446805,41.8
prev_recent_DAYS_DECISION,367.0826577603817,41.733333333333334
prev_approved_AMT_CREDIT_GOODS_PERC_MAX,282.44195292343693,41.53333333333334
prev_sum_DAYS_TERMINATION,327.0285005096346,41.53333333333334
BASEMENTAREA_MEDI,295.00275238106644,41.53333333333333
prev_sum_AMT_CREDIT,272.3733889311552,41.266666666666666
prev_sum_AMT_DIFF_CREDIT_GOODS,330.0890097975731,40.0
bureau_AMT_MAX_OVERDUE_TOTAL_RATIO,341.4597241441409,39.8
CODE_GENDER,1995.631647343685,39.733333333333334
